2023/7/24 14:36:30 错误提示：端口被关闭。
2023/7/24 14:36:30 已发送字符串：:TRIG:SOUR IMM

2023/7/24 14:36:30 已发送字符串：:INIT:CONT ON

2023/7/24 14:36:30 已发送字符串：:RESISTANCE:RANGE 0.500E-3

2023/7/24 14:37:05 已发送字符串：:TRIG:SOUR IMM

2023/7/24 14:37:05 已发送字符串：:INIT:CONT ON

2023/7/24 14:37:05 已发送字符串：:RESISTANCE:RANGE 0.500E-3

2023/7/24 14:37:18 已发送字符串：:RESISTANCE:RANGE?

2023/7/24 14:43:06 已发送字符串：:TRIG:SOUR IMM

2023/7/24 14:43:10 已发送字符串：:INIT:CONT ON

2023/7/24 14:43:10 已发送字符串：:RESISTANCE:RANGE 0.500E-3

2023/7/24 14:43:12 已发送字符串：:RESISTANCE:RANGE?

2023/7/24 14:43:18 数据接收成功：  300.00E-3

2023/7/24 14:44:31 已发送字符串：:TRIG:SOUR IMM

2023/7/24 14:44:31 已发送字符串：:INIT:CONT ON

2023/7/24 14:44:31 已发送字符串：:RESISTANCE:RANGE 100E-3

2023/7/24 14:44:44 已发送字符串：:RESISTANCE:RANGE?

2023/7/24 14:45:47 已发送字符串：:TRIG:SOUR IMM

2023/7/24 14:45:47 已发送字符串：:INIT:CONT ON

2023/7/24 14:45:47 已发送字符串：:RESISTANCE:RANGE 100E-3

2023/7/24 14:45:50 已发送字符串：:RESISTANCE:RANGE?

2023/7/24 15:03:39 已发送字符串：:TRIG:SOUR IMM

2023/7/24 15:03:39 已发送字符串：:INIT:CONT ON

2023/7/24 15:03:39 已发送字符串：:RESISTANCE:RANGE 100E-3

2023/7/24 15:03:42 已发送字符串：:RESISTANCE:RANGE?

2023/7/24 17:09:06 已发送字符串：:TRIG:SOUR IMM

2023/7/24 17:09:06 已发送字符串：:INIT:CONT ON

2023/7/24 17:09:06 已发送字符串：:RESISTANCE:RANGE 100E-3

2023/7/24 17:15:02 已发送字符串：:TRIG:SOUR IMM

2023/7/24 17:15:02 已发送字符串：:INIT:CONT ON

2023/7/24 17:15:02 已发送字符串：:RESISTANCE:RANGE 100E-3

2023/7/24 17:17:06 已发送字符串：:TRIG:SOUR IMM

2023/7/24 17:17:06 已发送字符串：:INIT:CONT ON

2023/7/24 17:17:06 已发送字符串：:RESISTANCE:RANGE 100E-3

2023/7/24 17:37:14 已发送字符串：:TRIG:SOUR IMM

2023/7/24 17:37:14 已发送字符串：:INIT:CONT ON

2023/7/24 17:37:14 已发送字符串：:RESISTANCE:RANGE 100E-3

2023/7/24 17:49:40 已发送字符串：:TRIG:SOUR IMM

2023/7/24 17:49:40 已发送字符串：:INIT:CONT ON

2023/7/24 17:49:40 已发送字符串：:RESISTANCE:RANGE 100E-3

2023/7/24 17:51:16 已发送字符串：:TRIG:SOUR IMM

2023/7/24 17:51:16 已发送字符串：:INIT:CONT ON

2023/7/24 17:51:16 已发送字符串：:RESISTANCE:RANGE 100E-3

2023/7/24 17:52:11 已发送字符串：:TRIG:SOUR IMM

2023/7/24 17:52:11 已发送字符串：:INIT:CONT ON

2023/7/24 17:52:11 已发送字符串：:RESISTANCE:RANGE 100E-3

2023/7/24 17:53:53 已发送字符串：:TRIG:SOUR IMM

2023/7/24 17:53:53 已发送字符串：:INIT:CONT ON

2023/7/24 17:53:53 已发送字符串：:RESISTANCE:RANGE 100E-3

2023/7/24 17:54:10 已发送字符串：:TRIG:SOUR IMM

2023/7/24 17:54:10 已发送字符串：:INIT:CONT ON

2023/7/24 17:54:10 已发送字符串：:RESISTANCE:RANGE 100E-3

2023/7/24 17:57:15 已发送字符串：:TRIG:SOUR IMM

2023/7/24 17:57:15 已发送字符串：:INIT:CONT ON

2023/7/24 17:57:15 已发送字符串：:RESISTANCE:RANGE 100E-3

2023/7/24 17:57:52 已发送字符串：:TRIG:SOUR IMM

2023/7/24 17:57:52 已发送字符串：:INIT:CONT ON

2023/7/24 17:57:52 已发送字符串：:RESISTANCE:RANGE 100E-3

2023/7/24 17:58:22 已发送字符串：:TRIG:SOUR IMM

2023/7/24 17:58:22 已发送字符串：:INIT:CONT ON

2023/7/24 17:58:22 已发送字符串：:RESISTANCE:RANGE 100E-3

2023/7/24 18:06:46 已发送字符串：:TRIG:SOUR IMM

2023/7/24 18:06:46 已发送字符串：:INIT:CONT ON

2023/7/24 18:06:46 已发送字符串：:RESISTANCE:RANGE 100E-3

2023/7/24 18:07:58 已发送字符串：:TRIG:SOUR IMM

2023/7/24 18:07:58 已发送字符串：:INIT:CONT ON

2023/7/24 18:07:58 已发送字符串：:RESISTANCE:RANGE 100E-3

